"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4195429550","linkedin","https://www.linkedin.com/jobs/view/4195429550","","Java Software Engineer","F1Soft International Pvt. Ltd.","Kathmandu, Bāgmatī, Nepal","","","","","","","",False,"","","","","","","https://np.linkedin.com/company/f1softgroup","","","","","","","","","","","",""
"li-4192993951","linkedin","https://www.linkedin.com/jobs/view/4192993951","","Java Software Engineer","Bajra Technologies","Kathmandu, Bāgmatī, Nepal","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/bajratechnologies","","","","","","","","","","","",""
"li-4195452931","linkedin","https://www.linkedin.com/jobs/view/4195452931","","React FullStack Developer","Swivt","Kathmandu, Bāgmatī, Nepal","","","","","","","",False,"","","","","","","https://hk.linkedin.com/company/swivt","","","","","","","","","","","",""
"li-4008911820","linkedin","https://www.linkedin.com/jobs/view/4008911820","","Full Stack Engineer","PMsquare Nepal","Kathmandu, Bāgmatī, Nepal","","","","","","","",False,"","","","","","","https://np.linkedin.com/company/pmsquare-nepal","","","","","","","","","","","",""
"li-4196778550","linkedin","https://www.linkedin.com/jobs/view/4196778550","","Senior Backend Engineer (Python/Django) –LLM Focused","CloudQuish LLC","","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cloudquish-llc","","","","","","","","","","","",""
"li-4195434782","linkedin","https://www.linkedin.com/jobs/view/4195434782","","Senior Full Stack Developer (Mern)","InternSathi - Internships In Nepal","Kathmandu, Bāgmatī, Nepal","","","","","","","",False,"","","","","","","https://np.linkedin.com/company/internsathi","","","","","","","","","","","",""
"li-4195000411","linkedin","https://www.linkedin.com/jobs/view/4195000411","","Full-Stack Developer to CTO","OmniAIVerse","Kathmandu, Bāgmatī, Nepal","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/omniaiverse","","","","","","","","","","","",""
